Generation,Z1_best,Z2_best,Z3_best
0,1496.2499669763286,0.9636559560000002,931.5099999999998
10,1067.3345564140486,1.3178191680000002,664.1299999999999
20,1217.5991455891644,0.6525400639999999,755.5799999999999
30,1184.5228310079929,0.6599948200000001,754.6999999999998
40,1226.947911379502,0.6599948200000001,763.3399999999998
50,1113.644953921434,1.012528744,678.81
60,1186.0491239470105,1.297764736,754.65
70,1079.0302804698704,1.3168003400000001,675.37
80,1194.00142142114,0.655056372,759.7599999999998
90,1061.2639705861975,0.646590432,682.1599999999999
100,1243.7285820540476,1.3335746720000003,773.5299999999999
110,1225.0448447620886,0.979231304,757.9899999999999
120,1372.2820733973747,0.9806555600000002,843.0199999999999
130,1205.7932686295944,0.6649539959999999,763.1899999999999
140,1372.2820733973747,0.977621392,843.0199999999999
150,1077.9861868153573,0.639247156,674.58
160,1232.9942899130274,0.9942353200000003,770.3599999999999
170,1152.8408488053701,0.9690003200000001,690.1299999999999
180,1340.5235033237482,0.33302987200000006,842.0899999999999
190,1237.4912442438745,0.6726147360000001,768.28
200,1264.4899330616793,1.2917872199999998,769.3099999999998
210,1275.5567911592775,0.6464353,778.6199999999999
220,1195.8062610884792,0.9818016359999999,761.6899999999999
230,1372.2820733973747,0.3184312840000001,852.7099999999998
240,1496.2499669763286,0.3267655039999999,931.5099999999998
250,968.648442127079,1.2906209040000003,601.76
260,1061.866259446869,0.9857698679999999,680.81
270,1350.1231983170837,0.32081587199999995,849.1299999999998
280,1057.7116976909392,1.315856392,682.89
290,1076.0944310373538,0.9573915880000001,668.47
