ConfigID,ThetaCap,SynergyWeight,Z1,Z2,Z3
1,0.3,0.5,612.6784264021917,2.249100000000001,596.75
2,0.3,1.0,700.5109096823609,2.570400000000001,676.66
3,0.3,2.5,608.9300688820433,2.249100000000001,592.77
4,0.3,5.0,609.0812097091671,2.249100000000001,592.99
5,0.3,7.5,711.5310819310953,2.570400000000001,688.5
6,0.4,0.5,698.1837984775498,2.570400000000001,671.22
7,0.4,1.0,605.9620312289537,2.249100000000001,590.0899999999999
8,0.4,2.5,600.4829524048926,2.249100000000001,577.89
9,0.4,5.0,704.5737751938091,2.570400000000001,680.2599999999999
10,0.4,7.5,708.8231987354388,2.570400000000001,684.01
11,0.5,0.5,524.7205461884648,1.9278000000000008,520.31
12,0.5,1.0,700.0254938386246,2.570400000000001,673.52
13,0.5,2.5,692.7658181287742,2.570400000000001,663.1999999999999
14,0.5,5.0,602.7076791877713,2.249100000000001,587.7299999999999
15,0.5,7.5,698.7685697740677,2.570400000000001,671.54
16,0.6,0.5,610.3075781477443,2.249100000000001,594.64
17,0.6,1.0,614.3393901983117,2.249100000000001,604.5999999999999
18,0.6,2.5,619.7927287788004,2.249100000000001,608.8
19,0.6,5.0,611.7202783743992,2.249100000000001,593.29
20,0.6,7.5,526.7197483748771,1.9278000000000008,523.89
21,0.7,0.5,605.7936263840111,2.249100000000001,589.99
22,0.7,1.0,612.5681044411084,2.249100000000001,601.4599999999999
23,0.7,2.5,519.7694094187004,1.9278000000000008,512.89
24,0.7,5.0,804.0645706101266,2.891700000000001,768.28
25,0.7,7.5,604.4886587898347,2.249100000000001,586.63
