ConfigID,Scenario,Lambda,Z1,Z2,Z3
1,S1.1,0.5,390.48517772370894,6.163406602475367,0.0
2,S1.1,1.0,381.0626191783732,6.3330735392778905,0.0
3,S1.1,2.5,332.28241550217064,5.345263451889893,0.0
4,S1.1,5.0,392.0056016650358,6.031016366447051,0.0
5,S1.1,7.5,327.97983828200626,4.974737501550437,0.0
6,S1.2,0.5,1016.2190364653871,2.671903804,603.73
7,S1.2,1.0,1189.7602822312772,2.9769104599999996,690.1899999999999
8,S1.2,2.5,743.4869911948554,1.9806104560000002,448.84000000000003
9,S1.2,5.0,1127.9147949703977,2.975950128,678.3199999999999
10,S1.2,7.5,916.0916306217354,2.305560064,538.96
11,S1.3,0.5,455.3832390776775,2.289931004,75.08999999999999
12,S1.3,1.0,516.6488723702095,2.643928712,81.24999999999999
13,S1.3,2.5,592.894041126267,2.984385456,86.55
14,S1.3,5.0,524.0478363526515,2.651355584,79.03
15,S1.3,7.5,513.0506191176319,2.6189654919999996,79.98
16,S1.4,0.5,938.4021053265844,2.281150016,597.8799999999999
17,S1.4,1.0,970.9145320822314,2.2897710879999997,601.0799999999999
18,S1.4,2.5,921.539131582847,2.2910095999999998,580.4499999999999
19,S1.4,5.0,1073.6949133464818,2.6499898240000004,673.1999999999999
20,S1.4,7.5,1199.9606026392594,2.964155652,759.6099999999999
